Actual SRT

Timestamp,Signal Value
Wed Mar 09 2022 03:31:02 GMT+0000 (Greenwich Mean Time),5.67984
Wed Mar 09 2022 03:46:02 GMT+0000 (Greenwich Mean Time),5.67838
Wed Mar 09 2022 04:02:24 GMT+0000 (Greenwich Mean Time),5.67906
Wed Mar 09 2022 04:16:03 GMT+0000 (Greenwich Mean Time),5.67858
Wed Mar 09 2022 04:31:04 GMT+0000 (Greenwich Mean Time),5.67745
Wed Mar 09 2022 04:46:04 GMT+0000 (Greenwich Mean Time),5.67639
Wed Mar 09 2022 05:01:04 GMT+0000 (Greenwich Mean Time),5.67748
Wed Mar 09 2022 05:16:04 GMT+0000 (Greenwich Mean Time),5.67749
Wed Mar 09 2022 05:31:05 GMT+0000 (Greenwich Mean Time),5.67658
Wed Mar 09 2022 05:46:05 GMT+0000 (Greenwich Mean Time),5.67579
Wed Mar 09 2022 06:01:05 GMT+0000 (Greenwich Mean Time),5.67746
Wed Mar 09 2022 06:15:05 GMT+0000 (Greenwich Mean Time),5.6771
Wed Mar 09 2022 06:30:06 GMT+0000 (Greenwich Mean Time),5.67641
Wed Mar 09 2022 06:45:06 GMT+0000 (Greenwich Mean Time),5.67581
Wed Mar 09 2022 07:00:06 GMT+0000 (Greenwich Mean Time),5.67711
Wed Mar 09 2022 07:15:06 GMT+0000 (Greenwich Mean Time),5.67662
Wed Mar 09 2022 07:30:07 GMT+0000 (Greenwich Mean Time),5.67624
Wed Mar 09 2022 07:45:07 GMT+0000 (Greenwich Mean Time),5.67591
Wed Mar 09 2022 08:00:09 GMT+0000 (Greenwich Mean Time),5.6781
Wed Mar 09 2022 08:15:08 GMT+0000 (Greenwich Mean Time),5.67773
Wed Mar 09 2022 08:30:09 GMT+0000 (Greenwich Mean Time),5.67745
Wed Mar 09 2022 08:45:08 GMT+0000 (Greenwich Mean Time),5.67723
Wed Mar 09 2022 09:00:09 GMT+0000 (Greenwich Mean Time),5.67886
Wed Mar 09 2022 09:15:09 GMT+0000 (Greenwich Mean Time),5.67863
Wed Mar 09 2022 09:30:09 GMT+0000 (Greenwich Mean Time),5.6785
Wed Mar 09 2022 09:45:09 GMT+0000 (Greenwich Mean Time),5.67841
Wed Mar 09 2022 10:00:09 GMT+0000 (Greenwich Mean Time),5.68025
Wed Mar 09 2022 10:15:09 GMT+0000 (Greenwich Mean Time),5.68017
Wed Mar 09 2022 10:30:10 GMT+0000 (Greenwich Mean Time),5.67989
Wed Mar 09 2022 10:45:11 GMT+0000 (Greenwich Mean Time),5.67964
Wed Mar 09 2022 11:00:11 GMT+0000 (Greenwich Mean Time),5.68125
Wed Mar 09 2022 11:15:11 GMT+0000 (Greenwich Mean Time),5.68113
Wed Mar 09 2022 11:30:11 GMT+0000 (Greenwich Mean Time),5.68083
Wed Mar 09 2022 11:45:12 GMT+0000 (Greenwich Mean Time),5.68051
Wed Mar 09 2022 12:00:11 GMT+0000 (Greenwich Mean Time),5.68213
Wed Mar 09 2022 12:15:12 GMT+0000 (Greenwich Mean Time),5.68281
Wed Mar 09 2022 12:30:12 GMT+0000 (Greenwich Mean Time),5.68233
Wed Mar 09 2022 12:45:12 GMT+0000 (Greenwich Mean Time),5.68183
Wed Mar 09 2022 13:00:13 GMT+0000 (Greenwich Mean Time),5.68289
Wed Mar 09 2022 13:15:13 GMT+0000 (Greenwich Mean Time),5.68314
Wed Mar 09 2022 13:30:13 GMT+0000 (Greenwich Mean Time),5.68262
Wed Mar 09 2022 13:45:14 GMT+0000 (Greenwich Mean Time),5.68212
Wed Mar 09 2022 14:00:15 GMT+0000 (Greenwich Mean Time),5.68319
Wed Mar 09 2022 14:15:14 GMT+0000 (Greenwich Mean Time),5.68364
Wed Mar 09 2022 14:30:15 GMT+0000 (Greenwich Mean Time),5.68314
Wed Mar 09 2022 14:45:15 GMT+0000 (Greenwich Mean Time),5.68263
Wed Mar 09 2022 15:00:15 GMT+0000 (Greenwich Mean Time),5.68361
Wed Mar 09 2022 15:15:16 GMT+0000 (Greenwich Mean Time),5.68408
Wed Mar 09 2022 15:30:15 GMT+0000 (Greenwich Mean Time),5.68346
Wed Mar 09 2022 15:45:16 GMT+0000 (Greenwich Mean Time),5.68278
Wed Mar 09 2022 16:00:16 GMT+0000 (Greenwich Mean Time),5.68398
Wed Mar 09 2022 16:15:17 GMT+0000 (Greenwich Mean Time),5.68402
Wed Mar 09 2022 16:30:17 GMT+0000 (Greenwich Mean Time),5.68303
Wed Mar 09 2022 17:45:19 GMT+0000 (Greenwich Mean Time),5.67933
Wed Mar 09 2022 18:00:19 GMT+0000 (Greenwich Mean Time),5.67966
Wed Mar 09 2022 18:15:18 GMT+0000 (Greenwich Mean Time),5.67896
Wed Mar 09 2022 18:30:18 GMT+0000 (Greenwich Mean Time),5.67735
Wed Mar 09 2022 18:45:19 GMT+0000 (Greenwich Mean Time),5.67578
Wed Mar 09 2022 19:00:19 GMT+0000 (Greenwich Mean Time),5.67594
Wed Mar 09 2022 19:15:20 GMT+0000 (Greenwich Mean Time),5.67518
Wed Mar 09 2022 19:30:19 GMT+0000 (Greenwich Mean Time),5.67353
Wed Mar 09 2022 19:45:19 GMT+0000 (Greenwich Mean Time),5.67178
Wed Mar 09 2022 20:00:20 GMT+0000 (Greenwich Mean Time),5.67212
Wed Mar 09 2022 20:15:21 GMT+0000 (Greenwich Mean Time),5.67142
Wed Mar 09 2022 20:30:22 GMT+0000 (Greenwich Mean Time),5.66964
Wed Mar 09 2022 20:45:21 GMT+0000 (Greenwich Mean Time),5.66792
Wed Mar 09 2022 21:00:21 GMT+0000 (Greenwich Mean Time),5.6681
Wed Mar 09 2022 21:15:22 GMT+0000 (Greenwich Mean Time),5.66733
Wed Mar 09 2022 21:30:22 GMT+0000 (Greenwich Mean Time),5.66563
Wed Mar 09 2022 21:45:21 GMT+0000 (Greenwich Mean Time),5.66388
Wed Mar 09 2022 22:00:22 GMT+0000 (Greenwich Mean Time),5.66392
Wed Mar 09 2022 22:15:22 GMT+0000 (Greenwich Mean Time),5.56397
Wed Mar 09 2022 22:30:23 GMT+0000 (Greenwich Mean Time),5.5638
Wed Mar 09 2022 22:45:22 GMT+0000 (Greenwich Mean Time),5.56274
Wed Mar 09 2022 23:01:33 GMT+0000 (Greenwich Mean Time),5.56471
Wed Mar 09 2022 23:15:24 GMT+0000 (Greenwich Mean Time),5.5731
Wed Mar 09 2022 23:30:24 GMT+0000 (Greenwich Mean Time),5.57417
Wed Mar 09 2022 23:45:23 GMT+0000 (Greenwich Mean Time),5.57331
Thu Mar 10 2022 00:00:24 GMT+0000 (Greenwich Mean Time),5.57577
Thu Mar 10 2022 00:15:24 GMT+0000 (Greenwich Mean Time),5.58496
Thu Mar 10 2022 00:30:24 GMT+0000 (Greenwich Mean Time),5.58701
Thu Mar 10 2022 00:45:24 GMT+0000 (Greenwich Mean Time),5.58628
Thu Mar 10 2022 01:02:01 GMT+0000 (Greenwich Mean Time),5.58858
Thu Mar 10 2022 01:15:25 GMT+0000 (Greenwich Mean Time),5.59811
Thu Mar 10 2022 01:30:26 GMT+0000 (Greenwich Mean Time),5.60107
Thu Mar 10 2022 01:45:26 GMT+0000 (Greenwich Mean Time),5.60065
Thu Mar 10 2022 02:00:26 GMT+0000 (Greenwich Mean Time),5.60357
Thu Mar 10 2022 02:15:26 GMT+0000 (Greenwich Mean Time),5.61344
Thu Mar 10 2022 02:30:27 GMT+0000 (Greenwich Mean Time),5.61875
Thu Mar 10 2022 02:45:27 GMT+0000 (Greenwich Mean Time),5.61857
Thu Mar 10 2022 03:00:27 GMT+0000 (Greenwich Mean Time),5.6212
Thu Mar 10 2022 03:15:28 GMT+0000 (Greenwich Mean Time),5.63146
Thu Mar 10 2022 03:30:28 GMT+0000 (Greenwich Mean Time),5.63815
Thu Mar 10 2022 03:45:28 GMT+0000 (Greenwich Mean Time),5.63834
Thu Mar 10 2022 04:02:18 GMT+0000 (Greenwich Mean Time),5.64128
Thu Mar 10 2022 04:15:28 GMT+0000 (Greenwich Mean Time),5.65145
Thu Mar 10 2022 04:30:28 GMT+0000 (Greenwich Mean Time),5.65897
Thu Mar 10 2022 04:45:29 GMT+0000 (Greenwich Mean Time),5.65923
Thu Mar 10 2022 05:00:29 GMT+0000 (Greenwich Mean Time),5.66187
Thu Mar 10 2022 05:15:29 GMT+0000 (Greenwich Mean Time),5.6721
Thu Mar 10 2022 05:30:30 GMT+0000 (Greenwich Mean Time),5.68089
Thu Mar 10 2022 05:45:30 GMT+0000 (Greenwich Mean Time),5.68119
Thu Mar 10 2022 06:00:30 GMT+0000 (Greenwich Mean Time),5.68351
Thu Mar 10 2022 06:15:31 GMT+0000 (Greenwich Mean Time),5.69389
Thu Mar 10 2022 06:30:31 GMT+0000 (Greenwich Mean Time),5.7031
Thu Mar 10 2022 06:45:32 GMT+0000 (Greenwich Mean Time),5.7034
Thu Mar 10 2022 07:00:31 GMT+0000 (Greenwich Mean Time),5.70518
Thu Mar 10 2022 07:15:32 GMT+0000 (Greenwich Mean Time),5.71563
Thu Mar 10 2022 07:30:32 GMT+0000 (Greenwich Mean Time),5.72583
Thu Mar 10 2022 07:45:32 GMT+0000 (Greenwich Mean Time),5.72615
Thu Mar 10 2022 08:00:33 GMT+0000 (Greenwich Mean Time),5.72855
Thu Mar 10 2022 08:15:33 GMT+0000 (Greenwich Mean Time),5.73917
Thu Mar 10 2022 08:30:33 GMT+0000 (Greenwich Mean Time),5.74969
Thu Mar 10 2022 08:45:34 GMT+0000 (Greenwich Mean Time),5.74999
Thu Mar 10 2022 09:00:34 GMT+0000 (Greenwich Mean Time),5.75213
Thu Mar 10 2022 09:15:34 GMT+0000 (Greenwich Mean Time),5.76241
Thu Mar 10 2022 09:30:35 GMT+0000 (Greenwich Mean Time),5.77538
Thu Mar 10 2022 09:45:34 GMT+0000 (Greenwich Mean Time),5.80987
Thu Mar 10 2022 10:00:35 GMT+0000 (Greenwich Mean Time),5.82818
Thu Mar 10 2022 10:15:34 GMT+0000 (Greenwich Mean Time),5.85241
Thu Mar 10 2022 10:30:35 GMT+0000 (Greenwich Mean Time),5.88777
Thu Mar 10 2022 10:45:36 GMT+0000 (Greenwich Mean Time),5.92289
Thu Mar 10 2022 11:00:35 GMT+0000 (Greenwich Mean Time),5.94091
Thu Mar 10 2022 11:15:36 GMT+0000 (Greenwich Mean Time),5.96635
Thu Mar 10 2022 11:30:36 GMT+0000 (Greenwich Mean Time),6.00313
Thu Mar 10 2022 11:45:36 GMT+0000 (Greenwich Mean Time),6.04043
Thu Mar 10 2022 12:00:37 GMT+0000 (Greenwich Mean Time),6.05851
Thu Mar 10 2022 12:15:36 GMT+0000 (Greenwich Mean Time),6.08563
Thu Mar 10 2022 12:30:37 GMT+0000 (Greenwich Mean Time),6.12397
Thu Mar 10 2022 12:45:37 GMT+0000 (Greenwich Mean Time),6.16277
Thu Mar 10 2022 13:00:38 GMT+0000 (Greenwich Mean Time),6.18175
Thu Mar 10 2022 13:15:38 GMT+0000 (Greenwich Mean Time),6.21026
Thu Mar 10 2022 13:30:38 GMT+0000 (Greenwich Mean Time),6.25021
Thu Mar 10 2022 13:45:38 GMT+0000 (Greenwich Mean Time),6.29063
Thu Mar 10 2022 14:00:38 GMT+0000 (Greenwich Mean Time),6.30934
Thu Mar 10 2022 14:15:39 GMT+0000 (Greenwich Mean Time),6.33729
Thu Mar 10 2022 14:30:39 GMT+0000 (Greenwich Mean Time),6.37871
Thu Mar 10 2022 14:45:39 GMT+0000 (Greenwich Mean Time),6.41995
Thu Mar 10 2022 15:00:40 GMT+0000 (Greenwich Mean Time),6.43814
Thu Mar 10 2022 15:15:41 GMT+0000 (Greenwich Mean Time),6.46825
Thu Mar 10 2022 15:30:41 GMT+0000 (Greenwich Mean Time),6.51068
Thu Mar 10 2022 15:45:41 GMT+0000 (Greenwich Mean Time),6.55289
Thu Mar 10 2022 16:00:41 GMT+0000 (Greenwich Mean Time),6.55329
Thu Mar 10 2022 16:15:41 GMT+0000 (Greenwich Mean Time),6.56624
Thu Mar 10 2022 16:30:41 GMT+0000 (Greenwich Mean Time),6.57329
Thu Mar 10 2022 16:45:42 GMT+0000 (Greenwich Mean Time),6.5725
Thu Mar 10 2022 17:00:41 GMT+0000 (Greenwich Mean Time),6.57307
Thu Mar 10 2022 17:15:43 GMT+0000 (Greenwich Mean Time),6.58648
Thu Mar 10 2022 17:30:43 GMT+0000 (Greenwich Mean Time),6.59251
Thu Mar 10 2022 17:45:43 GMT+0000 (Greenwich Mean Time),6.59181
Thu Mar 10 2022 18:00:43 GMT+0000 (Greenwich Mean Time),6.59192
Thu Mar 10 2022 18:15:44 GMT+0000 (Greenwich Mean Time),6.60425
Thu Mar 10 2022 18:30:43 GMT+0000 (Greenwich Mean Time),6.60662
Thu Mar 10 2022 18:45:43 GMT+0000 (Greenwich Mean Time),6.60577
Thu Mar 10 2022 19:00:43 GMT+0000 (Greenwich Mean Time),6.60566
Thu Mar 10 2022 19:15:44 GMT+0000 (Greenwich Mean Time),6.61898
Thu Mar 10 2022 19:30:45 GMT+0000 (Greenwich Mean Time),6.61936
Thu Mar 10 2022 19:45:45 GMT+0000 (Greenwich Mean Time),6.61856
Thu Mar 10 2022 20:00:45 GMT+0000 (Greenwich Mean Time),6.61773
Thu Mar 10 2022 20:15:46 GMT+0000 (Greenwich Mean Time),6.62634
Thu Mar 10 2022 20:30:46 GMT+0000 (Greenwich Mean Time),6.62554
Thu Mar 10 2022 20:45:46 GMT+0000 (Greenwich Mean Time),6.62474
Thu Mar 10 2022 21:00:46 GMT+0000 (Greenwich Mean Time),6.62437
Thu Mar 10 2022 21:15:46 GMT+0000 (Greenwich Mean Time),6.63265
Thu Mar 10 2022 21:30:46 GMT+0000 (Greenwich Mean Time),6.63193
Thu Mar 10 2022 21:45:47 GMT+0000 (Greenwich Mean Time),6.63127
Thu Mar 10 2022 22:00:47 GMT+0000 (Greenwich Mean Time),6.63122
Thu Mar 10 2022 22:15:48 GMT+0000 (Greenwich Mean Time),6.63985
Thu Mar 10 2022 22:30:48 GMT+0000 (Greenwich Mean Time),6.63917
Thu Mar 10 2022 22:45:48 GMT+0000 (Greenwich Mean Time),6.63851
Thu Mar 10 2022 23:00:49 GMT+0000 (Greenwich Mean Time),6.63903
