Time,NO3 Effluent
2018-06-11T14:59:00.000Z,3.0227150000000003
2018-06-11T15:59:00.000Z,2.8798900000000005
2018-06-11T16:59:00.000Z,2.81264
2018-06-11T17:59:00.000Z,2.73295
2018-06-11T18:59:00.000Z,2.686555
2018-06-11T19:59:00.000Z,2.6650350000000005
2018-06-11T20:59:00.000Z,2.8537950000000003
2018-06-11T21:59:00.000Z,3.22481
2018-06-11T22:59:00.000Z,3.450025
2018-06-11T23:59:00.000Z,3.522685
2018-06-12T00:59:00.000Z,3.48932
2018-06-12T01:59:00.000Z,3.43361
2018-06-12T02:59:00.000Z,3.41229
2018-06-12T03:59:00.000Z,3.30787
2018-06-12T04:59:00.000Z,3.34444
2018-06-12T05:59:00.000Z,3.528885
2018-06-12T06:59:00.000Z,3.5281200000000004
2018-06-12T07:59:00.000Z,3.6110100000000003
2018-06-12T08:59:00.000Z,3.6562600000000005
2018-06-12T09:59:00.000Z,3.562
2018-06-12T10:59:00.000Z,3.41554
2018-06-12T11:59:00.000Z,3.13884
2018-06-12T12:59:00.000Z,2.7986
2018-06-12T13:59:00.000Z,2.72542
2018-06-12T14:59:00.000Z,3.030975
2018-06-12T15:59:00.000Z,3.5101150000000003
2018-06-12T16:59:00.000Z,3.77785
2018-06-12T17:59:00.000Z,3.77785
2018-06-12T18:59:00.000Z,4.12158
2018-06-12T19:59:00.000Z,4.32059
2018-06-12T20:59:00.000Z,4.17587
2018-06-12T21:59:00.000Z,4.118595
2018-06-12T22:59:00.000Z,4.37478
2018-06-12T23:59:00.000Z,4.74382
2018-06-13T00:59:00.000Z,4.432785
2018-06-13T01:59:00.000Z,3.8536100000000006
2018-06-13T02:59:00.000Z,3.6922300000000003
2018-06-13T03:59:00.000Z,3.77369
2018-06-13T04:59:00.000Z,3.82474
2018-06-13T05:59:00.000Z,3.8292800000000002
2018-06-13T06:59:00.000Z,3.81305
2018-06-13T07:59:00.000Z,3.79908
2018-06-13T08:59:00.000Z,3.7851100000000004
2018-06-13T09:59:00.000Z,3.3342950000000005
2018-06-13T10:59:00.000Z,2.7171300000000005
2018-06-13T11:59:00.000Z,2.55078
2018-06-13T12:59:00.000Z,2.86927
2018-06-13T13:59:00.000Z,3.415845
2018-06-13T14:59:00.000Z,3.959885
2018-06-13T15:59:00.000Z,4.27584
2018-06-13T16:59:00.000Z,5.1185
2018-06-13T17:59:00.000Z,6.174375
2018-06-13T18:59:00.000Z,6.409245000000001
2018-06-13T19:59:00.000Z,6.4309
2018-06-13T20:59:00.000Z,6.248255
2018-06-13T21:59:00.000Z,5.952085000000001
2018-06-13T22:59:00.000Z,5.689955
2018-06-13T23:59:00.000Z,5.321275000000001
2018-06-14T00:59:00.000Z,4.826355
2018-06-14T01:59:00.000Z,4.35118
2018-06-14T02:59:00.000Z,4.09606
2018-06-14T03:59:00.000Z,3.8520750000000006
2018-06-14T04:59:00.000Z,3.53372
2018-06-14T05:59:00.000Z,3.4001400000000004
2018-06-14T06:59:00.000Z,3.510675
2018-06-14T07:59:00.000Z,3.7958500000000006
2018-06-14T08:59:00.000Z,3.95894
2018-06-14T09:59:00.000Z,3.806995
2018-06-14T10:59:00.000Z,3.401025
2018-06-14T11:59:00.000Z,2.722755
2018-06-14T12:59:00.000Z,2.338495
2018-06-14T13:59:00.000Z,2.7870350000000004
2018-06-14T14:59:00.000Z,3.598285
2018-06-14T15:59:00.000Z,4.33732
2018-06-14T16:59:00.000Z,4.671475
2018-06-14T17:59:00.000Z,5.145715
2018-06-14T18:59:00.000Z,6.1293
2018-06-14T19:59:00.000Z,6.506275
2018-06-14T20:59:00.000Z,6.190950000000001
2018-06-14T21:59:00.000Z,5.75354
2018-06-14T22:59:00.000Z,5.230975
2018-06-14T23:59:00.000Z,4.651135
2018-06-15T00:59:00.000Z,4.020705
2018-06-15T01:59:00.000Z,3.52694
2018-06-15T02:59:00.000Z,3.376765
2018-06-15T03:59:00.000Z,3.4333150000000003
2018-06-15T04:59:00.000Z,3.564835
2018-06-15T05:59:00.000Z,3.7147300000000003
2018-06-15T06:59:00.000Z,3.889285
2018-06-15T07:59:00.000Z,4.06404
2018-06-15T08:59:00.000Z,4.07816
2018-06-15T09:59:00.000Z,3.8978000000000006
2018-06-15T10:59:00.000Z,3.6697500000000005
2018-06-15T11:59:00.000Z,3.420975
2018-06-15T12:59:00.000Z,3.11874
2018-06-15T13:59:00.000Z,2.8719150000000004
2018-06-15T14:59:00.000Z,2.7226
2018-06-15T15:59:00.000Z,2.7428
2018-06-15T16:59:00.000Z,3.071335
2018-06-15T17:59:00.000Z,3.69577
2018-06-15T18:59:00.000Z,4.55322
2018-06-15T19:59:00.000Z,5.555485
2018-06-15T20:59:00.000Z,6.46444
2018-06-15T21:59:00.000Z,6.91485
2018-06-15T22:59:00.000Z,6.841715
2018-06-15T23:59:00.000Z,6.52694
2018-06-16T00:59:00.000Z,6.12303
2018-06-16T01:59:00.000Z,5.58212
2018-06-16T02:59:00.000Z,4.993095
2018-06-16T03:59:00.000Z,3.72465
2018-06-16T04:59:00.000Z,2.419685
2018-06-16T05:59:00.000Z,2.192045
2018-06-16T06:59:00.000Z,2.019105
2018-06-16T07:59:00.000Z,1.71729
2018-06-16T08:59:00.000Z,1.40295
2018-06-16T09:59:00.000Z,1.097165
2018-06-16T10:59:00.000Z,1.091115
2018-06-16T11:59:00.000Z,1.54718
2018-06-16T12:59:00.000Z,2.27826
2018-06-16T13:59:00.000Z,2.713495
2018-06-16T14:59:00.000Z,2.843595
2018-06-16T15:59:00.000Z,2.880905
2018-06-16T16:59:00.000Z,3.235455
2018-06-16T17:59:00.000Z,3.8249250000000004
2018-06-16T18:59:00.000Z,4.233325
2018-06-16T19:59:00.000Z,4.376345
2018-06-16T20:59:00.000Z,4.26006
2018-06-16T21:59:00.000Z,4.14503
2018-06-16T22:59:00.000Z,3.9985900000000005
2018-06-16T23:59:00.000Z,3.637285
2018-06-17T00:59:00.000Z,3.653575
2018-06-17T01:59:00.000Z,4.061245
